Pager usage is off.
PHASE_01_PG_STAT_STATEMENTS_TOP_20
 calls | mean_ms |  total_ms  | rows  |                                                                                                                      query                                                                                                                       
-------+---------+------------+-------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  9163 |  193.75 | 1775321.07 | 18326 | select oi1_0.order_id,oi1_0.id,oi1_0.option_info,oi1_0.product_name,oi1_0.sku_id,oi1_0.quantity,oi1_0.status,oi1_0.unit_price from order_item oi1_0 where oi1_0.order_id=$1 order by oi1_0.id
 18263 |   49.66 |  906964.99 | 36526 | select i1_0.product_id,i1_0.id,i1_0.image_url,i1_0.is_main,i1_0.sort_order from product_image i1_0 where i1_0.product_id=$1 order by i1_0.is_main desc,i1_0.sort_order,i1_0.id
 18307 |    0.65 |   11966.49 | 18307 | select ps1_0.id,ps1_0.extra_price,ps1_0.product_id,ps1_0.sku_code,ps1_0.stock_quantity from product_sku ps1_0 where ps1_0.id=$1
 18266 |    0.62 |   11304.10 | 18266 | select p1_0.id,p1_0.base_price,p1_0.category_id,p1_0.created_at,p1_0.description,p1_0.is_deleted,p1_0.name,p1_0.status,p1_0.updated_at from product p1_0 where p1_0.id=$1
    28 |  397.36 |   11125.99 |  9788 | select o1_0.id,o1_0.address_id,o1_0.created_at,o1_0.discount_price,o1_0.final_price,o1_0.status,o1_0.total_price,o1_0.used_coupon_id,o1_0.user_id from orders o1_0 where o1_0.user_id=$1
    21 |   36.04 |     756.85 |   483 | SELECT                                                                                                                                                                                                                                          +
       |         |            |       |                 current_database() datname,                                                                                                                                                                                                     +
       |         |            |       |                 schemaname,                                                                                                                                                                                                                     +
       |         |            |       |                 relname,                                                                                                                                                                                                                        +
       |         |            |       |                 seq_scan,                                                                                                                                                                                                                       +
       |         |            |       |                 seq_tup_read,                                                                                                                                                                                                                   +
       |         |            |       |                 idx_scan,                                                                                                                                                                                                                       +
       |         |            |       |                 idx_tup_fetch,                                                                                                                                                                                                                  +
       |         |            |       |                 n_tup_ins,                                                                                                                                                                                                                      +
       |         |            |       |                 n_tup_upd,                                                                                                                                                                                                                      +
       |         |            |       |                 n_tup_del,                                                                                                                                                                                                                      +
       |         |            |       |                 n_tup_hot_upd,                                                                                                                                                                                                                  +
       |         |            |       |                 n_live_tup,                                                                                                                                                                                                                     +
       |         |            |       |                 n_dead_tup,                                                                                                                                                                                                                     +
       |         |            |       |                 n_mod_since_analyze,                                                                                                                                                                                                            +
       |         |            |       |                 COALESCE(las
    84 |    3.23 |     271.69 |    84 | SELECT pg_database_size($1)
    21 |    7.57 |     159.07 |  5754 | SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name NOT IN ($5, $6)
    21 |    2.47 |      51.94 |    21 | SELECT COUNT(*) FILTER (WHERE wait_event_type = $1) AS lock_waiting_sessions,                                                                                                                                                                   +
       |         |            |       |        COUNT(*) FILTER (WHERE state = $2) AS idle_in_transaction_sessions,                                                                                                                                                                      +
       |         |            |       |        COUNT(*) FILTER (WHERE xact_start IS NOT NULL) AS open_transactions,                                                                                                                                                                     +
       |         |            |       |        EXTR
    21 |    2.18 |      45.68 |   483 | SELECT                                                                                                                                                                                                                                          +
       |         |            |       |                 current_database() datname,                                                                                                                                                                                                     +
       |         |            |       |                 schemaname,                                                                                                                                                                                                                     +
       |         |            |       |                 relname,                                                                                                                                                                                                                        +
       |         |            |       |                 heap_blks_read,                                                                                                                                                                                                                 +
       |         |            |       |                 heap_blks_hit,                                                                                                                                                                                                                  +
       |         |            |       |                 idx_blks_read,                                                                                                                                                                                                                  +
       |         |            |       |                 idx_blks_hit,                                                                                                                                                                                                                   +
       |         |            |       |                 toast_blks_read,                                                                                                                                                                                                                +
       |         |            |       |                 toast_blks_hit,                                                                                                                                                                                                                 +
       |         |            |       |                 tidx_blks_read,                                                                                                                                                                                                                 +
       |         |            |       |                 tidx_blks_hit                                                                                                                                                                                                                   +
       |         |            |       |         FROM pg_statio_user_tables
    21 |    1.77 |      37.11 |   756 | SELECT                                                                                                                                                                                                                                          +
       |         |            |       |                   pg_database.datname as datname,                                                                                                                                                                                               +
       |         |            |       |                   tmp.mode as mode,                                                                                                                                                                                                             +
       |         |            |       |                   COALESCE(count, $1) as count                                                                                                                                                                                                  +
       |         |            |       |                 FROM                                                                                                                                                                                                                            +
       |         |            |       |                   (                                                                                                                                                                                                                             +
       |         |            |       |                     VALUES                                                                                                                                                                                                                      +
       |         |            |       |                       ($2),                                                                                                                                                                                                                     +
       |         |            |       |                       ($3),                                                                                                                                                                                                                     +
       |         |            |       |                       ($4),                                                                                                                                                                                                                     +
       |         |            |       |                       ($5),                                                                                                                                                                                                                     +
       |         |            |       |                       ($6),                                                                                                                                                                                                                     +
       |         |            |       |                       ($7),                                                                                                                                                                                                                     +
       |         |            |       |                       ($8),                                                                                                                                                                                                                     +
       |         |            |       |                      
    21 |    1.35 |      28.27 |    21 | SELECT locktype,                                                                                                                                                                                                                                +
       |         |            |       |        mode,                                                                                                                                                                                                                                    +
       |         |            |       |        granted::text AS granted,                                                                                                                                                                                                                +
       |         |            |       |        COUNT(*) AS lock_count                                                                                                                                                                                                                   +
       |         |            |       | FROM pg_locks                                                                                                                                                                                                                                   +
       |         |            |       | WHERE locktype IN ($1, $2, $3)                                                                                                                                                                                                                  +
       |         |            |       | GROUP BY locktype, mode, granted                                                                                                                                                                                                                +
       |         |            |       | ORDER BY locktype, mode, granted
    21 |    1.06 |      22.36 |    21 | SELECT                                                                                                                                                                                                                                          +
       |         |            |       |                         COUNT(*) AS segments,                                                                                                                                                                                                   +
       |         |            |       |                         SUM(size) AS size                                                                                                                                                                                                       +
       |         |            |       |                 FROM pg_ls_waldir()                                                                                                                                                                                                             +
       |         |            |       |                 WHERE name ~ $1
    21 |    0.64 |      13.37 |   570 | SELECT                                                                                                                                                                                                                                          +
       |         |            |       |                                 pg_database.datname,                                                                                                                                                                                            +
       |         |            |       |                                 tmp.state,                                                                                                                                                                                                      +
       |         |            |       |                                 tmp2.usename,                                                                                                                                                                                                   +
       |         |            |       |                                 tmp2.application_name,                                                                                                                                                                                          +
       |         |            |       |                                 tmp2.backend_type,                                                                                                                                                                                              +
       |         |            |       |                                 tmp2.wait_event_type,                                                                                                                                                                                           +
